payment_id,merchant_id,customer_id,amount,currency,payment_method,failure_reason,payment_status,attempt_number,previous_success_rate,time_since_failure_minutes,is_subscription,recovery_eligible,recovery_action,recovery_success,recovered_amount
pay_0034,merch_104,cust_1076,499,INR,card,authentication_failure,FAILED,1,0.86,142,0,1,SEND_REMINDER,1,499.0
pay_0035,merch_104,cust_1053,4999,INR,card,limit_exceeded,FAILED,3,0.82,130,1,0,STOP,0,0.0
pay_0036,merch_102,cust_1013,499,INR,wallet,authentication_failure,FAILED,1,0.1,34,1,1,SEND_REMINDER,1,499.0
pay_0037,merch_103,cust_1141,9999,INR,upi,temporary_network_error,FAILED,1,0.9,177,0,1,RETRY_PAYMENT,1,9999.0
pay_0038,merch_102,cust_1149,25000,INR,card,bank_declined,FAILED,1,0.14,94,0,1,SEND_PAYMENT_LINK,0,0.0
pay_0039,merch_101,cust_1174,1499,INR,upi,authentication_failure,FAILED,2,0.85,105,0,1,SEND_REMINDER,0,0.0
pay_0040,merch_101,cust_1041,999,INR,wallet,temporary_network_error,FAILED,1,0.73,86,1,1,RETRY_PAYMENT,1,999.0
pay_0041,merch_105,cust_1063,2999,INR,card,limit_exceeded,FAILED,1,0.43,10,1,1,SEND_REMINDER,1,2999.0
pay_0042,merch_103,cust_1089,2999,INR,card,insufficient_funds,FAILED,1,0.66,103,1,1,SEND_PAYMENT_LINK,1,2999.0
pay_0043,merch_100,cust_1197,2999,INR,netbanking,limit_exceeded,FAILED,2,0.44,138,1,1,SEND_REMINDER,0,0.0
pay_0044,merch_100,cust_1066,999,INR,netbanking,temporary_network_error,FAILED,1,0.61,89,1,1,RETRY_PAYMENT,1,999.0
pay_0045,merch_104,cust_1029,9999,INR,card,authentication_failure,FAILED,1,0.7,1,0,1,SEND_PAYMENT_LINK,1,9999.0
pay_0046,merch_100,cust_1170,4999,INR,netbanking,limit_exceeded,FAILED,1,0.71,77,1,1,SEND_REMINDER,0,0.0
pay_0047,merch_102,cust_1103,2999,INR,card,insufficient_funds,FAILED,2,0.67,98,0,1,SEND_PAYMENT_LINK,0,0.0
pay_0048,merch_102,cust_1103,25000,INR,upi,authentication_failure,FAILED,1,0.28,149,1,1,SEND_PAYMENT_LINK,1,25000.0
pay_0049,merch_103,cust_1172,1499,INR,wallet,limit_exceeded,FAILED,1,0.66,73,1,1,SEND_REMINDER,1,1499.0
pay_0050,merch_101,cust_1172,2999,INR,card,insufficient_funds,FAILED,1,0.12,63,1,1,SEND_PAYMENT_LINK,0,0.0
pay_0051,merch_100,cust_1116,9999,INR,card,limit_exceeded,FAILED,3,0.43,103,0,0,STOP,0,0.0
pay_0052,merch_101,cust_1167,199,INR,upi,bank_declined,FAILED,1,0.25,179,1,1,SEND_REMINDER,1,199.0
pay_0053,merch_101,cust_1031,15000,INR,card,bank_declined,FAILED,3,0.55,144,1,0,STOP,0,0.0
pay_0054,merch_103,cust_1156,25000,INR,wallet,timeout,FAILED,2,0.86,122,1,1,RETRY_PAYMENT,1,25000.0
pay_0055,merch_101,cust_1163,2999,INR,wallet,limit_exceeded,FAILED,1,0.33,20,1,1,SEND_REMINDER,1,2999.0
pay_0056,merch_102,cust_1081,25000,INR,upi,insufficient_funds,FAILED,1,0.3,178,0,1,SEND_PAYMENT_LINK,0,0.0
pay_0057,merch_100,cust_1106,9999,INR,netbanking,timeout,FAILED,2,0.45,53,1,1,RETRY_PAYMENT,1,9999.0
pay_0058,merch_104,cust_1178,199,INR,wallet,bank_declined,FAILED,1,0.9,77,1,1,SEND_REMINDER,0,0.0
pay_0059,merch_103,cust_1137,25000,INR,card,bank_declined,FAILED,1,0.33,125,0,1,SEND_PAYMENT_LINK,1,25000.0
pay_0060,merch_105,cust_1173,9999,INR,card,bank_declined,FAILED,1,0.93,137,0,1,SEND_PAYMENT_LINK,0,0.0
pay_0061,merch_104,cust_1144,199,INR,upi,limit_exceeded,FAILED,2,0.22,119,0,1,SEND_REMINDER,1,199.0
pay_0062,merch_103,cust_1083,1499,INR,wallet,authentication_failure,FAILED,1,0.75,98,1,1,SEND_REMINDER,0,0.0
pay_0063,merch_103,cust_1064,499,INR,wallet,temporary_network_error,FAILED,3,0.56,90,0,1,RETRY_PAYMENT,0,0.0
pay_0064,merch_105,cust_1010,199,INR,card,insufficient_funds,FAILED,1,0.63,62,0,1,SEND_PAYMENT_LINK,0,0.0
pay_0065,merch_100,cust_1144,1499,INR,wallet,limit_exceeded,FAILED,1,0.75,43,0,1,SEND_REMINDER,0,0.0
pay_0066,merch_101,cust_1079,499,INR,upi,authentication_failure,FAILED,2,0.68,97,1,1,SEND_REMINDER,0,0.0
pay_0067,merch_101,cust_1019,1499,INR,upi,limit_exceeded,FAILED,1,0.82,154,0,1,SEND_REMINDER,0,0.0
pay_0068,merch_104,cust_1200,199,INR,netbanking,timeout,FAILED,2,0.66,18,1,1,RETRY_PAYMENT,1,199.0
pay_0069,merch_103,cust_1125,499,INR,wallet,authentication_failure,FAILED,3,0.86,118,0,1,SEND_REMINDER,0,0.0
pay_0070,merch_105,cust_1133,2999,INR,wallet,bank_declined,FAILED,2,0.8,152,1,1,SEND_REMINDER,1,2999.0
pay_0071,merch_101,cust_1022,2999,INR,wallet,insufficient_funds,FAILED,2,0.58,172,1,1,SEND_PAYMENT_LINK,0,0.0
pay_0072,merch_103,cust_1083,999,INR,wallet,insufficient_funds,FAILED,1,0.78,88,1,1,SEND_PAYMENT_LINK,0,0.0
pay_0073,merch_105,cust_1070,25000,INR,upi,timeout,FAILED,1,0.17,105,1,1,RETRY_PAYMENT,1,25000.0
pay_0074,merch_101,cust_1176,15000,INR,wallet,bank_declined,FAILED,1,0.18,57,1,1,SEND_PAYMENT_LINK,0,0.0
pay_0075,merch_102,cust_1169,4999,INR,wallet,timeout,FAILED,2,0.39,141,1,1,RETRY_PAYMENT,1,4999.0
pay_0076,merch_103,cust_1069,2999,INR,netbanking,insufficient_funds,FAILED,1,0.71,81,0,1,SEND_PAYMENT_LINK,0,0.0
pay_0077,merch_105,cust_1047,1499,INR,card,limit_exceeded,FAILED,2,0.34,151,1,1,SEND_REMINDER,0,0.0
pay_0078,merch_101,cust_1075,1499,INR,netbanking,insufficient_funds,FAILED,1,0.11,137,0,1,SEND_PAYMENT_LINK,1,1499.0
pay_0079,merch_100,cust_1141,2999,INR,card,limit_exceeded,FAILED,2,0.19,4,1,1,SEND_REMINDER,0,0.0
pay_0080,merch_103,cust_1087,999,INR,upi,authentication_failure,FAILED,2,0.2,17,1,1,SEND_REMINDER,1,999.0
pay_0081,merch_104,cust_1161,199,INR,card,insufficient_funds,FAILED,2,0.91,22,0,1,SEND_PAYMENT_LINK,1,199.0
pay_0082,merch_103,cust_1155,1499,INR,wallet,bank_declined,FAILED,2,0.35,151,1,1,SEND_REMINDER,1,1499.0
pay_0083,merch_104,cust_1015,499,INR,card,limit_exceeded,FAILED,1,0.32,21,0,1,SEND_REMINDER,1,499.0
pay_0084,merch_104,cust_1019,999,INR,upi,bank_declined,FAILED,2,0.69,121,1,1,SEND_REMINDER,1,999.0
pay_0085,merch_102,cust_1180,2999,INR,wallet,temporary_network_error,FAILED,3,0.3,68,0,1,RETRY_PAYMENT,1,2999.0
pay_0086,merch_104,cust_1057,999,INR,netbanking,insufficient_funds,FAILED,1,0.15,79,1,1,SEND_PAYMENT_LINK,0,0.0
pay_0087,merch_103,cust_1176,2999,INR,wallet,authentication_failure,FAILED,2,0.56,113,0,1,SEND_REMINDER,0,0.0
pay_0088,merch_103,cust_1188,4999,INR,netbanking,temporary_network_error,FAILED,1,0.29,173,0,1,RETRY_PAYMENT,0,0.0
pay_0089,merch_105,cust_1068,199,INR,card,bank_declined,FAILED,2,0.65,72,0,1,SEND_REMINDER,0,0.0
pay_0090,merch_103,cust_1162,15000,INR,upi,bank_declined,FAILED,1,0.45,83,0,1,SEND_PAYMENT_LINK,0,0.0
pay_0091,merch_102,cust_1105,15000,INR,netbanking,limit_exceeded,FAILED,2,0.79,141,0,1,SEND_PAYMENT_LINK,0,0.0
pay_0092,merch_102,cust_1064,4999,INR,upi,bank_declined,FAILED,2,0.8,1,1,1,SEND_REMINDER,1,4999.0
pay_0093,merch_101,cust_1132,4999,INR,wallet,limit_exceeded,FAILED,2,0.75,53,1,1,SEND_REMINDER,0,0.0
pay_0094,merch_102,cust_1112,15000,INR,upi,temporary_network_error,FAILED,3,0.62,62,0,1,RETRY_PAYMENT,1,15000.0
pay_0095,merch_100,cust_1141,9999,INR,upi,insufficient_funds,FAILED,1,0.49,31,0,1,SEND_PAYMENT_LINK,0,0.0
pay_0096,merch_105,cust_1074,25000,INR,netbanking,bank_declined,FAILED,2,0.93,63,1,1,SEND_PAYMENT_LINK,1,25000.0
pay_0097,merch_103,cust_1048,25000,INR,card,temporary_network_error,FAILED,1,0.76,107,1,1,RETRY_PAYMENT,1,25000.0
pay_0098,merch_104,cust_1068,199,INR,netbanking,limit_exceeded,FAILED,1,0.81,149,1,1,SEND_REMINDER,0,0.0
pay_0099,merch_103,cust_1137,15000,INR,netbanking,authentication_failure,FAILED,2,0.75,97,1,1,SEND_PAYMENT_LINK,0,0.0
pay_0100,merch_101,cust_1178,1499,INR,wallet,insufficient_funds,FAILED,2,0.14,122,1,1,SEND_PAYMENT_LINK,0,0.0
pay_0101,merch_105,cust_1166,999,INR,wallet,temporary_network_error,FAILED,1,0.53,152,1,1,RETRY_PAYMENT,0,0.0
pay_0102,merch_103,cust_1025,25000,INR,wallet,temporary_network_error,FAILED,3,0.22,168,0,1,RETRY_PAYMENT,1,25000.0
pay_0103,merch_102,cust_1086,9999,INR,upi,authentication_failure,FAILED,3,0.83,98,1,1,SEND_PAYMENT_LINK,0,0.0
pay_0104,merch_103,cust_1138,199,INR,upi,insufficient_funds,FAILED,3,0.68,74,0,0,STOP,0,0.0
pay_0105,merch_105,cust_1023,9999,INR,upi,limit_exceeded,FAILED,3,0.84,114,0,0,STOP,0,0.0
pay_0106,merch_105,cust_1076,199,INR,upi,authentication_failure,FAILED,1,0.35,96,1,1,SEND_REMINDER,1,199.0
pay_0107,merch_104,cust_1105,999,INR,card,insufficient_funds,FAILED,1,0.62,98,0,1,SEND_PAYMENT_LINK,0,0.0
pay_0108,merch_104,cust_1036,1499,INR,wallet,limit_exceeded,FAILED,1,0.49,171,0,1,SEND_REMINDER,0,0.0
pay_0109,merch_103,cust_1073,25000,INR,card,temporary_network_error,FAILED,2,0.9,151,1,1,RETRY_PAYMENT,1,25000.0
pay_0110,merch_103,cust_1176,2999,INR,wallet,authentication_failure,FAILED,1,0.95,124,0,1,SEND_REMINDER,1,2999.0
pay_0111,merch_104,cust_1091,2999,INR,netbanking,temporary_network_error,FAILED,3,0.44,3,0,1,RETRY_PAYMENT,0,0.0
pay_0112,merch_105,cust_1127,2999,INR,card,timeout,FAILED,1,0.29,49,1,1,RETRY_PAYMENT,1,2999.0
pay_0113,merch_105,cust_1196,999,INR,upi,limit_exceeded,FAILED,3,0.13,113,0,0,STOP,0,0.0
pay_0114,merch_104,cust_1093,999,INR,upi,authentication_failure,FAILED,1,0.74,45,0,1,SEND_REMINDER,1,999.0
pay_0115,merch_104,cust_1093,25000,INR,netbanking,insufficient_funds,FAILED,1,0.88,124,1,1,SEND_PAYMENT_LINK,0,0.0
pay_0116,merch_102,cust_1029,15000,INR,upi,insufficient_funds,FAILED,1,0.83,173,1,1,SEND_PAYMENT_LINK,0,0.0
pay_0117,merch_104,cust_1093,499,INR,wallet,temporary_network_error,FAILED,1,0.56,117,1,1,RETRY_PAYMENT,1,499.0
pay_0118,merch_105,cust_1067,9999,INR,netbanking,temporary_network_error,FAILED,3,0.3,7,1,1,RETRY_PAYMENT,0,0.0
pay_0119,merch_101,cust_1165,499,INR,wallet,limit_exceeded,FAILED,1,0.65,30,0,1,SEND_REMINDER,1,499.0
pay_0120,merch_100,cust_1077,15000,INR,upi,temporary_network_error,FAILED,1,0.85,35,1,1,RETRY_PAYMENT,1,15000.0
pay_0121,merch_105,cust_1190,25000,INR,wallet,timeout,FAILED,3,0.72,107,0,1,RETRY_PAYMENT,0,0.0
pay_0122,merch_104,cust_1104,2999,INR,upi,limit_exceeded,FAILED,1,0.28,114,0,1,SEND_REMINDER,0,0.0
pay_0123,merch_100,cust_1175,4999,INR,netbanking,temporary_network_error,FAILED,2,0.33,32,1,1,RETRY_PAYMENT,1,4999.0
pay_0124,merch_101,cust_1164,199,INR,upi,authentication_failure,FAILED,1,0.94,145,0,1,SEND_REMINDER,1,199.0
pay_0125,merch_104,cust_1053,1499,INR,card,authentication_failure,FAILED,1,0.77,153,0,1,SEND_REMINDER,1,1499.0
pay_0126,merch_101,cust_1033,25000,INR,netbanking,insufficient_funds,FAILED,1,0.66,7,0,1,SEND_PAYMENT_LINK,1,25000.0
pay_0127,merch_101,cust_1150,4999,INR,upi,insufficient_funds,FAILED,1,0.14,108,0,1,SEND_PAYMENT_LINK,0,0.0
pay_0128,merch_103,cust_1114,4999,INR,upi,bank_declined,FAILED,2,0.29,158,0,1,SEND_REMINDER,0,0.0
pay_0129,merch_105,cust_1133,2999,INR,wallet,limit_exceeded,FAILED,1,0.15,123,1,1,SEND_REMINDER,0,0.0
pay_0130,merch_100,cust_1125,15000,INR,upi,temporary_network_error,FAILED,1,0.62,17,0,1,RETRY_PAYMENT,1,15000.0
pay_0131,merch_105,cust_1149,25000,INR,netbanking,bank_declined,FAILED,2,0.55,117,1,1,SEND_PAYMENT_LINK,1,25000.0
pay_0132,merch_105,cust_1029,25000,INR,card,bank_declined,FAILED,2,0.85,106,1,1,SEND_PAYMENT_LINK,0,0.0
pay_0133,merch_103,cust_1106,499,INR,netbanking,bank_declined,FAILED,1,0.67,96,0,1,SEND_REMINDER,0,0.0
pay_0134,merch_103,cust_1017,499,INR,upi,temporary_network_error,FAILED,2,0.18,96,0,1,RETRY_PAYMENT,1,499.0
pay_0135,merch_104,cust_1143,25000,INR,netbanking,limit_exceeded,FAILED,1,0.45,171,1,1,SEND_PAYMENT_LINK,0,0.0
pay_0136,merch_105,cust_1013,2999,INR,netbanking,authentication_failure,FAILED,1,0.59,55,0,1,SEND_REMINDER,0,0.0
pay_0137,merch_101,cust_1027,4999,INR,netbanking,temporary_network_error,FAILED,1,0.59,110,0,1,RETRY_PAYMENT,1,4999.0
pay_0138,merch_105,cust_1177,2999,INR,upi,insufficient_funds,FAILED,1,0.7,80,1,1,SEND_PAYMENT_LINK,0,0.0
pay_0139,merch_101,cust_1036,9999,INR,upi,insufficient_funds,FAILED,3,0.64,8,0,0,STOP,0,0.0
pay_0140,merch_105,cust_1135,1499,INR,wallet,bank_declined,FAILED,2,0.39,95,1,1,SEND_REMINDER,0,0.0
pay_0141,merch_104,cust_1152,499,INR,upi,insufficient_funds,FAILED,1,0.74,13,0,1,SEND_PAYMENT_LINK,1,499.0
pay_0142,merch_105,cust_1108,15000,INR,wallet,bank_declined,FAILED,1,0.28,132,0,1,SEND_PAYMENT_LINK,1,15000.0
pay_0143,merch_100,cust_1072,15000,INR,netbanking,temporary_network_error,FAILED,1,0.44,154,0,1,RETRY_PAYMENT,1,15000.0
pay_0144,merch_102,cust_1054,999,INR,netbanking,authentication_failure,FAILED,1,0.2,128,1,1,SEND_REMINDER,1,999.0
pay_0145,merch_103,cust_1136,1499,INR,netbanking,temporary_network_error,FAILED,2,0.83,11,1,1,RETRY_PAYMENT,1,1499.0
pay_0146,merch_100,cust_1080,9999,INR,wallet,limit_exceeded,FAILED,3,0.46,30,1,0,STOP,0,0.0
pay_0147,merch_100,cust_1083,999,INR,wallet,limit_exceeded,FAILED,1,0.17,28,0,1,SEND_REMINDER,0,0.0
pay_0148,merch_103,cust_1134,499,INR,wallet,authentication_failure,FAILED,3,0.39,86,0,0,STOP,0,0.0
pay_0149,merch_100,cust_1130,499,INR,card,authentication_failure,FAILED,1,0.72,166,0,1,SEND_REMINDER,1,499.0
pay_0150,merch_101,cust_1065,1499,INR,card,timeout,FAILED,1,0.75,168,0,1,RETRY_PAYMENT,1,1499.0
pay_0151,merch_105,cust_1126,15000,INR,wallet,limit_exceeded,FAILED,2,0.65,160,1,1,SEND_PAYMENT_LINK,0,0.0
pay_0152,merch_105,cust_1080,999,INR,wallet,temporary_network_error,FAILED,2,0.48,78,1,1,RETRY_PAYMENT,1,999.0
pay_0153,merch_102,cust_1129,499,INR,netbanking,bank_declined,FAILED,2,0.13,95,1,1,SEND_REMINDER,1,499.0
pay_0154,merch_100,cust_1157,25000,INR,wallet,bank_declined,FAILED,2,0.57,11,1,1,SEND_PAYMENT_LINK,0,0.0
pay_0155,merch_104,cust_1166,1499,INR,netbanking,timeout,FAILED,2,0.53,16,1,1,RETRY_PAYMENT,1,1499.0
pay_0156,merch_102,cust_1182,499,INR,card,temporary_network_error,FAILED,1,0.7,113,0,1,RETRY_PAYMENT,1,499.0
pay_0157,merch_102,cust_1099,9999,INR,netbanking,limit_exceeded,FAILED,2,0.14,162,1,1,SEND_PAYMENT_LINK,1,9999.0
pay_0158,merch_100,cust_1142,9999,INR,netbanking,authentication_failure,FAILED,3,0.82,155,0,1,SEND_PAYMENT_LINK,1,9999.0
pay_0159,merch_104,cust_1169,999,INR,netbanking,authentication_failure,FAILED,3,0.69,101,0,0,STOP,0,0.0
pay_0160,merch_104,cust_1181,499,INR,netbanking,timeout,FAILED,2,0.65,85,0,1,RETRY_PAYMENT,1,499.0
pay_0161,merch_105,cust_1175,25000,INR,upi,limit_exceeded,FAILED,3,0.46,93,0,0,STOP,0,0.0
pay_0162,merch_102,cust_1079,999,INR,card,authentication_failure,FAILED,2,0.26,36,0,1,SEND_REMINDER,1,999.0
pay_0163,merch_100,cust_1129,25000,INR,upi,limit_exceeded,FAILED,1,0.84,159,0,1,SEND_PAYMENT_LINK,0,0.0
pay_0164,merch_101,cust_1041,999,INR,card,limit_exceeded,FAILED,2,0.14,94,0,1,SEND_REMINDER,0,0.0
pay_0165,merch_104,cust_1072,15000,INR,card,timeout,FAILED,1,0.36,121,0,1,RETRY_PAYMENT,1,15000.0
pay_0166,merch_104,cust_1112,15000,INR,netbanking,bank_declined,FAILED,2,0.55,42,0,1,SEND_PAYMENT_LINK,0,0.0
pay_0167,merch_101,cust_1064,199,INR,wallet,authentication_failure,FAILED,2,0.89,133,0,1,SEND_REMINDER,1,199.0
pay_0168,merch_101,cust_1069,15000,INR,card,bank_declined,FAILED,1,0.9,57,1,1,SEND_PAYMENT_LINK,0,0.0
pay_0169,merch_100,cust_1106,199,INR,wallet,timeout,FAILED,1,0.3,21,1,1,RETRY_PAYMENT,1,199.0
pay_0170,merch_102,cust_1025,4999,INR,card,insufficient_funds,FAILED,1,0.34,121,0,1,SEND_PAYMENT_LINK,0,0.0
pay_0171,merch_103,cust_1114,199,INR,upi,temporary_network_error,FAILED,1,0.28,39,1,1,RETRY_PAYMENT,1,199.0
pay_0172,merch_102,cust_1060,2999,INR,upi,temporary_network_error,FAILED,1,0.46,160,1,1,RETRY_PAYMENT,1,2999.0
pay_0173,merch_103,cust_1152,25000,INR,upi,limit_exceeded,FAILED,2,0.59,37,1,1,SEND_PAYMENT_LINK,0,0.0
pay_0174,merch_104,cust_1090,1499,INR,wallet,insufficient_funds,FAILED,3,0.67,135,1,0,STOP,0,0.0
pay_0175,merch_100,cust_1134,25000,INR,upi,bank_declined,FAILED,2,0.14,100,1,1,SEND_PAYMENT_LINK,1,25000.0
pay_0176,merch_100,cust_1091,499,INR,netbanking,insufficient_funds,FAILED,3,0.66,27,1,0,STOP,0,0.0
pay_0177,merch_101,cust_1011,4999,INR,netbanking,limit_exceeded,FAILED,1,0.81,176,1,1,SEND_REMINDER,0,0.0
pay_0178,merch_103,cust_1161,999,INR,card,temporary_network_error,FAILED,3,0.76,118,0,1,RETRY_PAYMENT,1,999.0
pay_0179,merch_100,cust_1051,199,INR,netbanking,authentication_failure,FAILED,2,0.44,140,1,1,SEND_REMINDER,1,199.0
pay_0180,merch_105,cust_1048,2999,INR,netbanking,temporary_network_error,FAILED,3,0.38,32,1,1,RETRY_PAYMENT,1,2999.0
pay_0181,merch_103,cust_1190,15000,INR,wallet,authentication_failure,FAILED,1,0.52,128,1,1,SEND_PAYMENT_LINK,0,0.0
pay_0182,merch_104,cust_1068,499,INR,wallet,temporary_network_error,FAILED,2,0.61,47,1,1,RETRY_PAYMENT,1,499.0
pay_0183,merch_100,cust_1083,2999,INR,netbanking,bank_declined,FAILED,2,0.71,43,1,1,SEND_REMINDER,1,2999.0
pay_0184,merch_100,cust_1186,4999,INR,wallet,authentication_failure,FAILED,3,0.93,15,0,1,SEND_REMINDER,0,0.0
pay_0185,merch_103,cust_1093,25000,INR,card,temporary_network_error,FAILED,1,0.82,174,1,1,RETRY_PAYMENT,1,25000.0
pay_0186,merch_100,cust_1060,4999,INR,netbanking,bank_declined,FAILED,2,0.13,40,1,1,SEND_REMINDER,0,0.0
pay_0187,merch_102,cust_1113,499,INR,card,timeout,FAILED,1,0.44,167,1,1,RETRY_PAYMENT,1,499.0
pay_0188,merch_100,cust_1006,999,INR,wallet,timeout,FAILED,2,0.88,31,1,1,RETRY_PAYMENT,1,999.0
pay_0189,merch_105,cust_1114,1499,INR,netbanking,limit_exceeded,FAILED,2,0.27,35,0,1,SEND_REMINDER,0,0.0
pay_0190,merch_105,cust_1113,499,INR,netbanking,limit_exceeded,FAILED,1,0.7,141,1,1,SEND_REMINDER,0,0.0
pay_0191,merch_101,cust_1182,999,INR,netbanking,timeout,FAILED,1,0.2,52,0,1,RETRY_PAYMENT,1,999.0
pay_0192,merch_103,cust_1006,4999,INR,netbanking,bank_declined,FAILED,2,0.21,23,0,1,SEND_REMINDER,1,4999.0
pay_0193,merch_105,cust_1184,15000,INR,wallet,bank_declined,FAILED,2,0.16,82,0,1,SEND_PAYMENT_LINK,1,15000.0
pay_0194,merch_105,cust_1132,4999,INR,card,timeout,FAILED,3,0.6,34,1,1,RETRY_PAYMENT,0,0.0
pay_0195,merch_100,cust_1031,25000,INR,card,authentication_failure,FAILED,1,0.24,58,1,1,SEND_PAYMENT_LINK,0,0.0
pay_0196,merch_104,cust_1072,499,INR,netbanking,insufficient_funds,FAILED,3,0.91,71,0,0,STOP,0,0.0
pay_0197,merch_105,cust_1077,25000,INR,upi,timeout,FAILED,3,0.24,149,0,1,RETRY_PAYMENT,1,25000.0
pay_0198,merch_104,cust_1184,4999,INR,upi,temporary_network_error,FAILED,1,0.14,165,1,1,RETRY_PAYMENT,1,4999.0
pay_0199,merch_104,cust_1106,199,INR,wallet,limit_exceeded,FAILED,2,0.35,78,1,1,SEND_REMINDER,1,199.0
pay_0200,merch_105,cust_1103,2999,INR,wallet,temporary_network_error,FAILED,3,0.15,113,1,1,RETRY_PAYMENT,1,2999.0
pay_0201,merch_101,cust_1087,999,INR,netbanking,limit_exceeded,FAILED,1,0.72,89,1,1,SEND_REMINDER,1,999.0
pay_0202,merch_102,cust_1131,25000,INR,upi,authentication_failure,FAILED,1,0.5,69,1,1,SEND_PAYMENT_LINK,1,25000.0
